2025-12-18 12:24:15 | ERROR | agenda_retrieval | API Request Error in get_raw_chunks: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieval/query (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6ea5a07230>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-18 12:24:15 | WARNING | agenda_retrieval | [990] No data found in retrieval response for meeting ID.
2025-12-18 12:24:15 | INFO | agenda_reasoning | Analyzing status for item: 'Review of Q4 SOX compliance status and key observa...' with 0 chunks.
2025-12-18 12:24:21 | INFO | analysis_graph | [990] saving agenda status to DB...
2025-12-18 12:24:21 | INFO | oracle_storage | [990] Updated status for item: Review of Q4 SOX compliance st...
2025-12-18 12:24:21 | INFO | analysis_graph | [990] saved to db...
2025-12-18 12:24:21 | INFO | agenda_retrieval | [990] Retrieving MoM chunks for query: 'Discussion on control testing results and identified exceptions.' via API
2025-12-18 12:24:21 | ERROR | agenda_retrieval | API Request Error in get_raw_chunks: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieval/query (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f6ea5a07b90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-18 12:24:21 | WARNING | agenda_retrieval | [990] No data found in retrieval response for meeting ID.
2025-12-18 12:24:21 | INFO | agenda_reasoning | Analyzing status for item: 'Discussion on control testing results and identifi...' with 0 chunks.
2025-12-18 12:24:50 | INFO | analysis_runner | Starting agenda analysis for meeting 990
2025-12-18 12:24:50 | INFO | analysis_graph | [990] Fetching agenda items from DB...
2025-12-18 12:24:50 | INFO | oracle_storage | a1
2025-12-18 12:24:50 | INFO | oracle_storage | [990] Fetched 1 agenda items from DB.
2025-12-18 12:24:50 | INFO | analysis_graph | [990] xccccccccccccFetched 1 agenda items from DB.
2025-12-18 12:24:50 | INFO | analysis_graph | [990] Starting analysis for 1 agenda items...
2025-12-18 12:24:50 | INFO | agenda_retrieval | [990] Retrieving MoM chunks for query: 'Review of Q4 SOX compliance status and key observations.' via API
2025-12-18 12:24:50 | ERROR | agenda_retrieval | API Request Error in get_raw_chunks: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /retrieval/query (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f07275fb5c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-12-18 12:24:50 | WARNING | agenda_retrieval | [990] No data found in retrieval response for meeting ID.
2025-12-18 12:24:50 | INFO | agenda_reasoning | Analyzing status for item: 'Review of Q4 SOX compliance status and key observa...' with 0 chunks.
2025-12-19 14:08:12 | INFO | analysis_runner | Starting agenda analysis for meeting 990
2025-12-19 14:08:12 | INFO | analysis_graph | [990] Fetching agenda items from DB...
2025-12-19 14:08:12 | INFO | oracle_storage | a1
2025-12-19 14:08:12 | INFO | oracle_storage | [990] Fetched 4 agenda items from DB.
2025-12-19 14:08:12 | INFO | analysis_graph | [990] xccccccccccccFetched 4 agenda items from DB.
2025-12-19 14:08:12 | INFO | analysis_graph | [990] Starting analysis for 4 agenda items...
2025-12-19 14:08:12 | ERROR | analysis_graph | [990] Error analyzing item 'Review of Q4 SOX com...': name 'get_relevant_mom_chunks' is not defined
2025-12-19 14:08:12 | ERROR | analysis_graph | [990] Error analyzing item 'Discussion on contro...': name 'get_relevant_mom_chunks' is not defined
2025-12-19 14:08:12 | ERROR | analysis_graph | [990] Error analyzing item 'Status of documentat...': name 'get_relevant_mom_chunks' is not defined
2025-12-19 14:08:12 | ERROR | analysis_graph | [990] Error analyzing item 'Planning next steps ...': name 'get_relevant_mom_chunks' is not defined
2025-12-19 14:08:12 | INFO | analysis_runner | Analysis completed successfully for 990
